,valid_from,valid_to,value_exc_vat
0,2021-05-15T02:00:00Z,2021-05-15T02:30:00Z,13.76
1,2021-05-15T01:30:00Z,2021-05-15T02:00:00Z,14.4
2,2021-05-15T01:00:00Z,2021-05-15T01:30:00Z,14.6
3,2021-05-15T00:30:00Z,2021-05-15T01:00:00Z,14.7
4,2021-05-15T00:00:00Z,2021-05-15T00:30:00Z,14.6
5,2021-05-14T23:30:00Z,2021-05-15T00:00:00Z,14.9
6,2021-05-14T23:00:00Z,2021-05-14T23:30:00Z,15.0
7,2021-05-14T22:30:00Z,2021-05-14T23:00:00Z,16.12
8,2021-05-14T22:00:00Z,2021-05-14T22:30:00Z,16.6
9,2021-05-14T21:30:00Z,2021-05-14T22:00:00Z,13.2
10,2021-05-14T21:00:00Z,2021-05-14T21:30:00Z,14.2
11,2021-05-14T20:30:00Z,2021-05-14T21:00:00Z,15.08
12,2021-05-14T20:00:00Z,2021-05-14T20:30:00Z,16.36
13,2021-05-14T19:30:00Z,2021-05-14T20:00:00Z,17.22
14,2021-05-14T19:00:00Z,2021-05-14T19:30:00Z,18.86
15,2021-05-14T18:30:00Z,2021-05-14T19:00:00Z,19.2
16,2021-05-14T18:00:00Z,2021-05-14T18:30:00Z,20.64
17,2021-05-14T17:30:00Z,2021-05-14T18:00:00Z,33.04
18,2021-05-14T17:00:00Z,2021-05-14T17:30:00Z,32.86
19,2021-05-14T16:30:00Z,2021-05-14T17:00:00Z,33.24
20,2021-05-14T16:00:00Z,2021-05-14T16:30:00Z,31.2
21,2021-05-14T15:30:00Z,2021-05-14T16:00:00Z,30.72
22,2021-05-14T15:00:00Z,2021-05-14T15:30:00Z,28.56
23,2021-05-14T14:30:00Z,2021-05-14T15:00:00Z,14.6
24,2021-05-14T14:00:00Z,2021-05-14T14:30:00Z,14.0
25,2021-05-14T13:30:00Z,2021-05-14T14:00:00Z,14.72
26,2021-05-14T13:00:00Z,2021-05-14T13:30:00Z,15.6
27,2021-05-14T12:30:00Z,2021-05-14T13:00:00Z,17.2
28,2021-05-14T12:00:00Z,2021-05-14T12:30:00Z,19.6
29,2021-05-14T11:30:00Z,2021-05-14T12:00:00Z,20.1
30,2021-05-14T11:00:00Z,2021-05-14T11:30:00Z,20.8
31,2021-05-14T10:30:00Z,2021-05-14T11:00:00Z,20.8
32,2021-05-14T10:00:00Z,2021-05-14T10:30:00Z,20.68
33,2021-05-14T09:30:00Z,2021-05-14T10:00:00Z,20.22
34,2021-05-14T09:00:00Z,2021-05-14T09:30:00Z,20.68
35,2021-05-14T08:30:00Z,2021-05-14T09:00:00Z,20.8
36,2021-05-14T08:00:00Z,2021-05-14T08:30:00Z,22.0
37,2021-05-14T07:30:00Z,2021-05-14T08:00:00Z,20.06
38,2021-05-14T07:00:00Z,2021-05-14T07:30:00Z,20.68
39,2021-05-14T06:30:00Z,2021-05-14T07:00:00Z,19.34
40,2021-05-14T06:00:00Z,2021-05-14T06:30:00Z,14.52
41,2021-05-14T05:30:00Z,2021-05-14T06:00:00Z,14.36
42,2021-05-14T05:00:00Z,2021-05-14T05:30:00Z,13.74
43,2021-05-14T04:30:00Z,2021-05-14T05:00:00Z,13.28
44,2021-05-14T04:00:00Z,2021-05-14T04:30:00Z,13.2
45,2021-05-14T03:30:00Z,2021-05-14T04:00:00Z,13.2
46,2021-05-14T03:00:00Z,2021-05-14T03:30:00Z,13.2
47,2021-05-14T02:30:00Z,2021-05-14T03:00:00Z,14.0
48,2021-05-14T02:00:00Z,2021-05-14T02:30:00Z,14.4
49,2021-05-14T01:30:00Z,2021-05-14T02:00:00Z,14.4
50,2021-05-14T01:00:00Z,2021-05-14T01:30:00Z,14.6
51,2021-05-14T00:30:00Z,2021-05-14T01:00:00Z,13.8
52,2021-05-14T00:00:00Z,2021-05-14T00:30:00Z,13.6
53,2021-05-13T23:30:00Z,2021-05-14T00:00:00Z,13.2
54,2021-05-13T23:00:00Z,2021-05-13T23:30:00Z,14.6
55,2021-05-13T22:30:00Z,2021-05-13T23:00:00Z,16.0
56,2021-05-13T22:00:00Z,2021-05-13T22:30:00Z,15.2
57,2021-05-13T21:30:00Z,2021-05-13T22:00:00Z,12.84
58,2021-05-13T21:00:00Z,2021-05-13T21:30:00Z,14.8
59,2021-05-13T20:30:00Z,2021-05-13T21:00:00Z,16.74
60,2021-05-13T20:00:00Z,2021-05-13T20:30:00Z,18.08
61,2021-05-13T19:30:00Z,2021-05-13T20:00:00Z,18.0
62,2021-05-13T19:00:00Z,2021-05-13T19:30:00Z,18.8
63,2021-05-13T18:30:00Z,2021-05-13T19:00:00Z,19.0
64,2021-05-13T18:00:00Z,2021-05-13T18:30:00Z,20.96
65,2021-05-13T17:30:00Z,2021-05-13T18:00:00Z,33.33
66,2021-05-13T17:00:00Z,2021-05-13T17:30:00Z,33.33
67,2021-05-13T16:30:00Z,2021-05-13T17:00:00Z,33.33
68,2021-05-13T16:00:00Z,2021-05-13T16:30:00Z,31.0
69,2021-05-13T15:30:00Z,2021-05-13T16:00:00Z,32.14
70,2021-05-13T15:00:00Z,2021-05-13T15:30:00Z,28.2
71,2021-05-13T14:30:00Z,2021-05-13T15:00:00Z,15.0
72,2021-05-13T14:00:00Z,2021-05-13T14:30:00Z,14.64
73,2021-05-13T13:30:00Z,2021-05-13T14:00:00Z,15.0
74,2021-05-13T13:00:00Z,2021-05-13T13:30:00Z,15.86
75,2021-05-13T12:30:00Z,2021-05-13T13:00:00Z,17.6
76,2021-05-13T12:00:00Z,2021-05-13T12:30:00Z,20.0
77,2021-05-13T11:30:00Z,2021-05-13T12:00:00Z,21.2
78,2021-05-13T11:00:00Z,2021-05-13T11:30:00Z,22.0
79,2021-05-13T10:30:00Z,2021-05-13T11:00:00Z,22.0
80,2021-05-13T10:00:00Z,2021-05-13T10:30:00Z,21.62
81,2021-05-13T09:30:00Z,2021-05-13T10:00:00Z,22.0
82,2021-05-13T09:00:00Z,2021-05-13T09:30:00Z,22.0
83,2021-05-13T08:30:00Z,2021-05-13T09:00:00Z,22.0
84,2021-05-13T08:00:00Z,2021-05-13T08:30:00Z,22.28
85,2021-05-13T07:30:00Z,2021-05-13T08:00:00Z,21.12
86,2021-05-13T07:00:00Z,2021-05-13T07:30:00Z,22.24
87,2021-05-13T06:30:00Z,2021-05-13T07:00:00Z,21.4
88,2021-05-13T06:00:00Z,2021-05-13T06:30:00Z,18.0
89,2021-05-13T05:30:00Z,2021-05-13T06:00:00Z,15.2
90,2021-05-13T05:00:00Z,2021-05-13T05:30:00Z,14.6
91,2021-05-13T04:30:00Z,2021-05-13T05:00:00Z,13.56
92,2021-05-13T04:00:00Z,2021-05-13T04:30:00Z,13.48
93,2021-05-13T03:30:00Z,2021-05-13T04:00:00Z,13.0
94,2021-05-13T03:00:00Z,2021-05-13T03:30:00Z,13.5
95,2021-05-13T02:30:00Z,2021-05-13T03:00:00Z,13.41
96,2021-05-13T02:00:00Z,2021-05-13T02:30:00Z,14.08
97,2021-05-13T01:30:00Z,2021-05-13T02:00:00Z,13.6
98,2021-05-13T01:00:00Z,2021-05-13T01:30:00Z,14.0
99,2021-05-13T00:30:00Z,2021-05-13T01:00:00Z,14.3
0,2021-05-13T00:00:00Z,2021-05-13T00:30:00Z,13.2
1,2021-05-12T23:30:00Z,2021-05-13T00:00:00Z,13.6
2,2021-05-12T23:00:00Z,2021-05-12T23:30:00Z,14.3
3,2021-05-12T22:30:00Z,2021-05-12T23:00:00Z,15.0
4,2021-05-12T22:00:00Z,2021-05-12T22:30:00Z,15.2
5,2021-05-12T21:30:00Z,2021-05-12T22:00:00Z,14.2
6,2021-05-12T21:00:00Z,2021-05-12T21:30:00Z,16.4
7,2021-05-12T20:30:00Z,2021-05-12T21:00:00Z,18.0
8,2021-05-12T20:00:00Z,2021-05-12T20:30:00Z,22.0
9,2021-05-12T19:30:00Z,2021-05-12T20:00:00Z,20.0
10,2021-05-12T19:00:00Z,2021-05-12T19:30:00Z,22.34
11,2021-05-12T18:30:00Z,2021-05-12T19:00:00Z,23.36
12,2021-05-12T18:00:00Z,2021-05-12T18:30:00Z,25.26
13,2021-05-12T17:30:00Z,2021-05-12T18:00:00Z,33.33
14,2021-05-12T17:00:00Z,2021-05-12T17:30:00Z,33.33
15,2021-05-12T16:30:00Z,2021-05-12T17:00:00Z,33.33
16,2021-05-12T16:00:00Z,2021-05-12T16:30:00Z,33.33
17,2021-05-12T15:30:00Z,2021-05-12T16:00:00Z,33.33
18,2021-05-12T15:00:00Z,2021-05-12T15:30:00Z,29.0
19,2021-05-12T14:30:00Z,2021-05-12T15:00:00Z,14.26
20,2021-05-12T14:00:00Z,2021-05-12T14:30:00Z,13.4
21,2021-05-12T13:30:00Z,2021-05-12T14:00:00Z,13.54
22,2021-05-12T13:00:00Z,2021-05-12T13:30:00Z,13.8
23,2021-05-12T12:30:00Z,2021-05-12T13:00:00Z,14.0
24,2021-05-12T12:00:00Z,2021-05-12T12:30:00Z,15.3
25,2021-05-12T11:30:00Z,2021-05-12T12:00:00Z,17.06
26,2021-05-12T11:00:00Z,2021-05-12T11:30:00Z,17.68
27,2021-05-12T10:30:00Z,2021-05-12T11:00:00Z,17.2
28,2021-05-12T10:00:00Z,2021-05-12T10:30:00Z,17.52
29,2021-05-12T09:30:00Z,2021-05-12T10:00:00Z,15.6
30,2021-05-12T09:00:00Z,2021-05-12T09:30:00Z,16.0
31,2021-05-12T08:30:00Z,2021-05-12T09:00:00Z,15.8
32,2021-05-12T08:00:00Z,2021-05-12T08:30:00Z,18.14
33,2021-05-12T07:30:00Z,2021-05-12T08:00:00Z,18.0
34,2021-05-12T07:00:00Z,2021-05-12T07:30:00Z,18.56
35,2021-05-12T06:30:00Z,2021-05-12T07:00:00Z,18.28
36,2021-05-12T06:00:00Z,2021-05-12T06:30:00Z,15.24
37,2021-05-12T05:30:00Z,2021-05-12T06:00:00Z,14.0
38,2021-05-12T05:00:00Z,2021-05-12T05:30:00Z,14.26
39,2021-05-12T04:30:00Z,2021-05-12T05:00:00Z,12.8
40,2021-05-12T04:00:00Z,2021-05-12T04:30:00Z,12.6
41,2021-05-12T03:30:00Z,2021-05-12T04:00:00Z,11.58
42,2021-05-12T03:00:00Z,2021-05-12T03:30:00Z,12.8
43,2021-05-12T02:30:00Z,2021-05-12T03:00:00Z,12.8
44,2021-05-12T02:00:00Z,2021-05-12T02:30:00Z,12.8
45,2021-05-12T01:30:00Z,2021-05-12T02:00:00Z,12.72
46,2021-05-12T01:00:00Z,2021-05-12T01:30:00Z,12.96
47,2021-05-12T00:30:00Z,2021-05-12T01:00:00Z,13.04
48,2021-05-12T00:00:00Z,2021-05-12T00:30:00Z,12.9
49,2021-05-11T23:30:00Z,2021-05-12T00:00:00Z,12.68
50,2021-05-11T23:00:00Z,2021-05-11T23:30:00Z,13.52
51,2021-05-11T22:30:00Z,2021-05-11T23:00:00Z,13.82
52,2021-05-11T22:00:00Z,2021-05-11T22:30:00Z,14.3
53,2021-05-11T21:30:00Z,2021-05-11T22:00:00Z,12.02
54,2021-05-11T21:00:00Z,2021-05-11T21:30:00Z,13.44
55,2021-05-11T20:30:00Z,2021-05-11T21:00:00Z,14.22
56,2021-05-11T20:00:00Z,2021-05-11T20:30:00Z,15.84
